id,source,target,tweet_id,type
UnkacryptodeebB33Nit,Unkacrypto,deebB33Nit,1547298472453341184,quote
Unkacryptogomtokkibee,Unkacrypto,gomtokkibee,1547787017441853443,quote
Unkacryptojustdan_again,Unkacrypto,justdan_again,1548784911540228099,quote
Unkacryptokron4news,Unkacrypto,kron4news,1547190364263616512,quote
Unkacryptomizz_ebony247,Unkacrypto,mizz_ebony247,1547748273401651200,quote
Unkacryptoworldnews_guru,Unkacrypto,worldnews_guru,1548149730370134016,quote
Unkacryptozeroshorts,Unkacrypto,zeroshorts,1550150100453937152,quote
Unkacryptozoz202002,Unkacrypto,zoz202002,1547651656317186049,quote
vahiddddd6094Saeed73,vahiddddd60,94Saeed73,1551432346183864322,retweet
94Saeed73FlokiMarvin,94Saeed73,FlokiMarvin,1552016782994690049,quote
94Saeed73GemKingdom1,94Saeed73,GemKingdom1,1547165515944263687,quote
94Saeed73Skynet90423982,94Saeed73,Skynet90423982,1552956536951119875,quote
Pelz_Official99_qudus,Pelz_Official,99_qudus,1549728077558734848,retweet
_think_social9NewsAUS,_think_social,9NewsAUS,1545700534941777921,quote
tree505717899NewsAUS,tree50571789,9NewsAUS,1545739823792603136,quote
tree50571789_think_social,tree50571789,_think_social,1545739823792603136,retweet
GregoriancantABC,Gregoriancant,ABC,1546023645633335300,quote
GregoriancantRonFilipkowski,Gregoriancant,RonFilipkowski,1546737682281246727,quote
Idiocracy2024ABC,Idiocracy2024,ABC,1545564522030567425,quote
JK_Dubey_ABPNews,JK_Dubey_,ABPNews,1548516607399317504,retweet
brajeshabpnewsABPNews,brajeshabpnews,ABPNews,1545583699198357508,retweet
Nitish144589727ADG_OnlineSOL,Nitish144589727,ADG_OnlineSOL,1547537463903920128,retweet
trendinculturesADG_OnlineSOL,trendincultures,ADG_OnlineSOL,1547540461149192199,retweet
trendinculturesJanavDua7,trendincultures,JanavDua7,1555860279208157185,retweet
NFTY_TribeAIPESnft_,NFTY_Tribe,AIPESnft_,1546354009979555840,quote
TheWeb3BotAIPESnft_,TheWeb3Bot,AIPESnft_,1546354031785873408,quote
TheWeb3BotMHRCN_DLK_GNGR,TheWeb3Bot,MHRCN_DLK_GNGR,1550238671147761668,retweet
TheWeb3BotMyDexChain1,TheWeb3Bot,MyDexChain1,1552960138595946497,retweet
TheWeb3BotNFTY_Tribe,TheWeb3Bot,NFTY_Tribe,1546354031785873408,retweet
TheWeb3BotTrackDoge,TheWeb3Bot,TrackDoge,1552864451027767296,quote
TheWeb3Botmrmikelerro,TheWeb3Bot,mrmikelerro,1552864451027767296,retweet
catpax10ALL_IN_MCDOGE_1,catpax10,ALL_IN_MCDOGE_1,1546533059796893698,retweet
xaelbotAMAZINGBIKE1,xaelbot,AMAZINGBIKE1,1548918368421310464,retweet
xaelbotstratorob,xaelbot,stratorob,1556464014015795203,retweet
EvertonPeres8ANNEGA23,EvertonPeres8,ANNEGA23,1547730195943018497,quote
EvertonPeres8AdrianaSchmit20,EvertonPeres8,AdrianaSchmit20,1553527417788153857,quote
EvertonPeres8AlexandreAGMart,EvertonPeres8,AlexandreAGMart,1546289704588435458,quote
EvertonPeres8AlvarezEdu1201,EvertonPeres8,AlvarezEdu1201,1549180077052657664,quote
EvertonPeres8BolsonaroRj25,EvertonPeres8,BolsonaroRj25,1550274866737287168,quote
EvertonPeres8BolsonaroSP,EvertonPeres8,BolsonaroSP,1545926945212350464,quote
EvertonPeres8BrazilFight,EvertonPeres8,BrazilFight,1550272828301344769,quote
EvertonPeres8CAdeMGomes,EvertonPeres8,CAdeMGomes,1548828033208942594,quote
EvertonPeres8CLAUDETEAPIVA,EvertonPeres8,CLAUDETEAPIVA,1545570562860322816,quote
EvertonPeres8CamposLuizJoao,EvertonPeres8,CamposLuizJoao,1545562800675856384,quote
EvertonPeres8CarlaZambelli38,EvertonPeres8,CarlaZambelli38,1550265349441978368,quote
EvertonPeres8Carlospadreco,EvertonPeres8,Carlospadreco,1545927841191165953,quote
EvertonPeres8Cinthia21704470,EvertonPeres8,Cinthia21704470,1552438866300502016,quote
EvertonPeres8CirineuSabino,EvertonPeres8,CirineuSabino,1545945811598643200,quote
EvertonPeres8Costamarcio2,EvertonPeres8,Costamarcio2,1550274042153910273,quote
EvertonPeres8EDUARDO05219561,EvertonPeres8,EDUARDO05219561,1545866254090702856,quote
EvertonPeres8EdmarNogueiraD5,EvertonPeres8,EdmarNogueiraD5,1550270988134252545,quote
EvertonPeres8Elcy48639336,EvertonPeres8,Elcy48639336,1546288252944015366,quote
EvertonPeres8Elisabe00158197,EvertonPeres8,Elisabe00158197,1548459978402304001,quote
EvertonPeres8FERNANDOPOZZER,EvertonPeres8,FERNANDOPOZZER,1549178392054054913,quote
EvertonPeres8Fernand66396534,EvertonPeres8,Fernand66396534,1547735212821385216,quote
EvertonPeres8FlaviSchneider,EvertonPeres8,FlaviSchneider,1547738273748881408,quote
EvertonPeres8FlviaLeo16,EvertonPeres8,FlviaLeo16,1552437233889705985,quote
EvertonPeres8FranzeNicolina,EvertonPeres8,FranzeNicolina,1547739930087944195,quote
EvertonPeres8Freitag67875888,EvertonPeres8,Freitag67875888,1548822219048067079,quote
EvertonPeres8Honestidadesim,EvertonPeres8,Honestidadesim,1548454038445760514,quote
EvertonPeres8JoaoGon70549490,EvertonPeres8,JoaoGon70549490,1546300350570848257,quote
EvertonPeres8JoseRjr6,EvertonPeres8,JoseRjr6,1550264196503420928,quote
EvertonPeres8Juliana27876571,EvertonPeres8,Juliana27876571,1547732594250305537,quote
EvertonPeres8Leandro_Mision,EvertonPeres8,Leandro_Mision,1548095870872064002,quote
EvertonPeres8LiaFattima,EvertonPeres8,LiaFattima,1553537591496122369,quote
EvertonPeres8LimaWalmir1,EvertonPeres8,LimaWalmir1,1548825599657086978,quote
EvertonPeres8LucianoGiusepp4,EvertonPeres8,LucianoGiusepp4,1547728813559189505,quote
EvertonPeres8LuzianoP,EvertonPeres8,LuzianoP,1547728540849737729,quote
EvertonPeres8MAvancaBrasil,EvertonPeres8,MAvancaBrasil,1545577313928187904,quote
EvertonPeres8Madruga24405183,EvertonPeres8,Madruga24405183,1545565615456387072,quote
EvertonPeres8MarceloCRedeTV,EvertonPeres8,MarceloCRedeTV,1546641035438292993,quote
EvertonPeres8MarciaCunto,EvertonPeres8,MarciaCunto,1547734022964387841,quote
EvertonPeres8MnicaLo21766941,EvertonPeres8,MnicaLo21766941,1545928098528563204,quote
EvertonPeres8Najia9Najia,EvertonPeres8,Najia9Najia,1546634622771027969,quote
EvertonPeres8OgroPatriota,EvertonPeres8,OgroPatriota,1548099340828155908,quote
EvertonPeres8PadraoAlexandre,EvertonPeres8,PadraoAlexandre,1553889609792241673,quote
EvertonPeres8PauloLimaGonca1,EvertonPeres8,PauloLimaGonca1,1545933728836460545,quote
EvertonPeres8PedroRo20022843,EvertonPeres8,PedroRo20022843,1550273605094850571,quote
EvertonPeres8Phti_PF,EvertonPeres8,Phti_PF,1550275590690951168,quote
EvertonPeres8RedBird27497451,EvertonPeres8,RedBird27497451,1547735770185601027,quote
EvertonPeres8RitasobralBreve,EvertonPeres8,RitasobralBreve,1552437727576338432,quote
EvertonPeres8RnSamarino,EvertonPeres8,RnSamarino,1546152702014640131,quote
EvertonPeres8RogerioZolini,EvertonPeres8,RogerioZolini,1555335173734076422,quote
EvertonPeres8Saldanha_BrasiI,EvertonPeres8,Saldanha_BrasiI,1550276191298404354,quote
EvertonPeres8TaniaMariaSale5,EvertonPeres8,TaniaMariaSale5,1545586564356575233,quote
EvertonPeres8Telles27573345,EvertonPeres8,Telles27573345,1547727388800212997,quote
EvertonPeres8TerraBrasilnot,EvertonPeres8,TerraBrasilnot,1554973798167896064,quote
EvertonPeres8VOVOARCHANJO,EvertonPeres8,VOVOARCHANJO,1550271972994678785,quote
EvertonPeres8Valdeci79144993,EvertonPeres8,Valdeci79144993,1549180642490982400,quote
EvertonPeres8VenturiniDiogo1,EvertonPeres8,VenturiniDiogo1,1548830575791939589,quote
EvertonPeres8VideiraSilvio,EvertonPeres8,VideiraSilvio,1545875867309678592,quote
EvertonPeres8William_Manny22,EvertonPeres8,William_Manny22,1548835400923348992,quote
EvertonPeres8a_per10,EvertonPeres8,a_per10,1545594437870538753,quote
EvertonPeres8acmcaetano54,EvertonPeres8,acmcaetano54,1545559280400715776,quote
EvertonPeres8andreluizquiri9,EvertonPeres8,andreluizquiri9,1549174217194733570,quote
EvertonPeres8andreporci,EvertonPeres8,andreporci,1550265999575891969,quote
EvertonPeres8bebeto_gg,EvertonPeres8,bebeto_gg,1550268329918709760,quote
EvertonPeres8brom_elisa,EvertonPeres8,brom_elisa,1545930699017961473,quote
EvertonPeres8busa_josomar,EvertonPeres8,busa_josomar,1553889860200681476,quote
